"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumErr","I(pos^2)","pos","stimlen","CumPres"
"preserved ~ CumErr + stimlen",2813.20310948755,0,1,0.995980850459509,0.0490165265611771,2.62604203678785,-0.444256670383034,NA,NA,-0.109150146219949,NA
"preserved ~ CumErr + pos",2815.16431669909,0,1,0.989355941858272,0.0480184593592675,2.11907043224324,-0.393268548498331,NA,-0.0875689106575313,NA,NA
"preserved ~ CumErr + I(pos^2) + pos",2815.31251840214,0,1,0.988546637399562,0.0489608639744972,2.32044865580554,-0.402738377681312,0.0138075924793609,-0.207361726920456,NA,NA
"preserved ~ CumErr",2824.22842490338,8.91590650124272,0.0115860527823022,0.0114533535186787,0.0423764145772563,1.8321934526824,-0.507011116721201,NA,NA,NA,NA
"preserved ~ CumErr",2824.22842490338,11.0253154158277,0.00403536828861917,0.00401914954001626,0.0423764145772563,1.8321934526824,-0.507011116721201,NA,NA,NA,NA
"preserved ~ CumErr",2824.22842490338,0,1,0.524977302584309,0.0423764145772563,1.8321934526824,-0.507011116721201,NA,NA,NA,NA
"preserved ~ CumErr",2824.22842490338,9.06410820429437,0.0107585541909547,0.0106440395146252,0.0423764145772563,1.8321934526824,-0.507011116721201,NA,NA,NA,NA
"preserved ~ CumErr + CumPres",2824.4284097865,0.199984883116485,0.90484425722273,0.475022697415691,0.0432956452504985,1.91097232772779,-0.50003584933479,NA,NA,NA,-0.0363958240838507
"preserved ~ pos",2850.74021080691,35.5758941078248,1.88275040675061e-08,1.86271030195479e-08,0.0287773457675378,2.24282859623322,NA,NA,-0.166156943892289,NA,NA
"preserved ~ I(pos^2) + pos",2852.32347533662,37.0109569344831,9.18698096837299e-09,9.08175914413889e-09,0.0289919803170919,2.33929509074773,NA,0.00644246431444136,-0.223211196514726,NA,NA
"preserved ~ stimlen",2869.94654107726,56.7434315897108,4.76782589634099e-13,4.74866329108057e-13,0.0188549765275439,2.9018484540046,NA,NA,NA,-0.172823108054162,NA
"preserved ~ CumPres",2901.46191868264,77.2334937792548,1.69418142871522e-17,8.89406796535347e-18,0.00244396185664002,1.72431800275528,NA,NA,NA,NA,-0.0566945624339579
